date,bc_aod_regional,temperature_c,total_precip_mm,snowfall_mm,rainfall_mm,year,month,day_of_year,albedo_mean,predicted_albedo,residuals,leverage,cooks_distance,studentized_residuals
2023-06-28,0.01043738821,12.27052523,0.254252553,0.0,0.254252553,2023,6,179,0.32475,0.29779555533078783,0.026954444669212152,0.004505409733752468,4.041884303543102e-05,0.21131447482870153
2023-07-22,0.010378888,15.96655426,1.715129614,0.0,1.715129614,2023,7,203,0.0821212163592192,0.2795245815740909,-0.19740336521487167,0.007702624786688982,0.0037301884920696764,-1.550072248452344
2022-08-14,0.01027855704,15.27106311,0.2744168042,0.0,0.2744168042,2022,8,226,0.30546691698769013,0.28666909266790586,0.018797824319784273,0.006964342054277344,3.0537409695394766e-05,0.1475514477363777
2024-08-09,0.01025885439,9.964477793,1.096844673,0.0,1.096844673,2024,8,222,0.2879622954352433,0.30415370447129464,-0.01619140903605132,0.004382138858771981,1.4181973897053358e-05,-0.12692775978382348
2023-09-20,0.01023827913,1.053421275,3.07315588,1.535449177,1.537706703,2023,9,263,0.1335,0.34410492534547754,-0.21060492534547753,0.023833860904895636,0.013575335958183108,-1.6673430534519043
2023-08-26,0.0102109689,12.74935621,0.2205342054,0.0,0.2205342054,2023,8,238,0.21024157418386286,0.2964136933665994,-0.08617211918273654,0.004695497338070739,0.00043069499428023775,-0.6756271593568381
2022-08-21,0.01017241698,16.17028643,3.088201104,0.0,3.088201104,2022,8,233,0.24783333333333335,0.2748650412643447,-0.02703170793101134,0.00884608147372507,8.051602376709738e-05,-0.2123837308179678
2024-07-04,0.01000096421,8.726545588,6.203461144,0.0,6.203461144,2024,7,186,0.38355718683352846,0.29361805855197104,0.08993912828155742,0.00876218249767386,0.0008827150533649293,0.7066071909592307
2024-07-30,0.009840020785,11.89170672,1.089680195,0.0,1.089680195,2024,7,212,0.3405,0.2975116090466029,0.042988390953397126,0.003892400736084581,8.871029742631578e-05,0.3369119175420517
2023-07-10,0.009809353222,15.2464742,1.603410276,0.0,1.603410276,2023,7,191,0.23248217812458913,0.2833701410306169,-0.05088796290602779,0.006567210392035274,0.0002108631535878529,-0.39935960222694694
2024-09-10,0.009792687538,9.034111277,9.433445475,0.0,9.433445475,2024,9,254,0.18308333333333335,0.28291489863980873,-0.09983156530647538,0.017911463243440208,0.0022648120136285954,-0.787972153511429
2023-09-17,0.009660789854,10.68588918,0.2464830874,0.0,0.2464830874,2023,9,260,0.14675,0.30486633852912365,-0.15811633852912366,0.004721523625450968,0.0014581864447628216,-1.2397175607531254
2022-08-24,0.009639217741,11.71893209,2.379703522,0.0,2.379703522,2022,8,236,0.23658333333333334,0.2945133933404847,-0.05793006000715137,0.0036954253216420273,0.0001528814363750468,-0.4539690303719144
2024-07-09,0.009585849746,17.97631798,0.005388259883,0.0,0.005388259883,2024,7,191,0.40716771735114626,0.2782808745343836,0.12888684281676266,0.012586252972331052,0.0026241092067498134,1.0145590077244544
2022-09-01,0.009503107532,16.32681999,0.5760014057,0.0,0.5760014057,2022,9,244,0.17635594299650256,0.28286365095280186,-0.1065077079562993,0.008658847201086603,0.0012230451774544657,-0.8367347031835831
2022-08-10,0.009489037611,17.36610247,0.09738802909,0.0,0.09738802909,2022,8,222,0.28984615384615386,0.28043153722578784,0.009414616620366023,0.011078214749546443,1.2286205821187954e-05,0.07405254311578406
